gene	total_expr_left (6OHDA+NDST3)	total_expr_right (6-OHDA)	expr_difference
Gemin5	33	54	-21
Gm1043	213	234	-21
Gm10643	22	43	-21
Gm3854	50	71	-21
Haus2	24	45	-21
Hddc2	37	58	-21
Higd1b	48	69	-21
Hmgxb4	380	401	-21
Hnrnpul2	76	97	-21
Il10ra	8	29	-21
Intu	45	66	-21
Itga9	36	57	-21
Kcnh4	8	29	-21
Kcnh6	67	88	-21
Kctd12b	49	70	-21
Krt77	20	41	-21
Lat2	30	51	-21
Lef1	93	114	-21
Lin9	23	44	-21
Lpin1	50	71	-21
Mafa	4	25	-21
Metap1	35	56	-21
Mtbp	54	75	-21
Mtx1	42	63	-21
Ndnf	19	40	-21
Nhej1	55	76	-21
Nmd3	59	80	-21
Nop16	64	85	-21
Nr4a2	292	313	-21
Ntmt1	146	167	-21
Nupr1l	62	83	-21
Pard3b	15	36	-21
Pcdha3	110	131	-21
Pex11b	126	147	-21
Pfas	39	60	-21
Pot1a	34	55	-21
Prickle3	17	38	-21
Prickle4	68	89	-21
Prkra	138	159	-21
Prph	28	49	-21
Prr22	69	90	-21
Pusl1	153	174	-21
Rabep2	48	69	-21
Rasl11a	7	28	-21
Rassf7	63	84	-21
Rbms3	263	284	-21
Rbpms2	107	128	-21
Rev3l	34	55	-21
Ripk1	42	63	-21
Rnf185	80	101	-21
Sema3g	40	61	-21
Sgk2	99	120	-21
Sidt1	27	48	-21
Sik1	51	72	-21
Slc1a5	61	82	-21
Slc30a5	62	83	-21
Slc38a5	57	78	-21
Smarca1	50	71	-21
Snx20	100	121	-21
Sstr3	20	41	-21
Strip1	48	69	-21
Taf2	156	177	-21
Tbc1d22a	70	91	-21
Tmem41a	138	159	-21
Tomm22	50	71	-21
Trmt9b	79	100	-21
Ttf1	41	62	-21
Wdr41	58	79	-21
Xrcc5	79	100	-21
Zbtb5	66	87	-21
Zfp277	39	60	-21
Zfp280b	138	159	-21
Zfp7	82	103	-21
Zfp825	79	100	-21
Zgrf1	14	35	-21
1700007K13Rik	45	67	-22
Abcc3	20	42	-22
Abcg1	65	87	-22
Adamtsl5	35	57	-22
Akr1b3	57	79	-22
Alg5	55	77	-22
Ano4	115	137	-22
Ap3m1	93	115	-22
Ap4e1	17	39	-22
Apobec3	24	46	-22
Arl10	207	229	-22
Arxes2	220	242	-22
Atmin	61	83	-22
Azin1	103	125	-22
B430305J03Rik	52	74	-22
Cables1	34	56	-22
Cacng6	4	26	-22
Calcrl	56	78	-22
Card10	201	223	-22
Casp3	34	56	-22
Ccr5	37	59	-22
Ccs	18	40	-22
Cd86	11	33	-22
Ceacam1	39	61	-22
Cep295nl	51	73	-22
Cep350	168	190	-22
Chtf18	22	44	-22
Cobl	105	127	-22
Commd6	35	57	-22
Cyp4x1	80	102	-22
Dck	46	68	-22
Dhfr	20	42	-22
Dlx5	60	82	-22
Dph6	77	99	-22
Fbll1	60	82	-22
Foxf2	75	97	-22
Foxl2	21	43	-22
Galnt3	16	38	-22
Gask1b	20	42	-22
Gbp4	30	52	-22
Gcfc2	49	71	-22
Gls2	105	127	-22
Gorab	52	74	-22
Hist2h2be	76	98	-22
Hsd17b1	17	39	-22
Hspb1	90	112	-22
Ier2	59	81	-22
Impa2	233	255	-22
Jagn1	90	112	-22
Klhl23	26	48	-22
Ldoc1	112	134	-22
Lmnb1	94	116	-22
Magee2	44	66	-22
Mcmdc2	17	39	-22
Megf10	93	115	-22
Mfsd4b4	83	105	-22
Mterf2	41	63	-22
Nr2f2	207	229	-22
Ogg1	41	63	-22
Olfr539	4	26	-22
Pde3b	24	46	-22
Pld6	128	150	-22
Pola2	62	84	-22
Prcc	142	164	-22
Rab38	21	43	-22
Rad9b	36	58	-22
Rasgef1c	57	79	-22
Rbm10	71	93	-22
Rsu1	65	87	-22
Samd5	178	200	-22
Sap130	205	227	-22
Sat1	48	70	-22
Serpinb9	60	82	-22
Sft2d1	32	54	-22
Shh	78	100	-22
Slc30a4	81	103	-22
Spg11	46	68	-22
Ssh1	97	119	-22
Tm6sf1	129	151	-22
Tmco6	65	87	-22
Tmem268	146	168	-22
Tmem28	37	59	-22
Tmx1	99	121	-22
Trmt10c	115	137	-22
Trpv3	13	35	-22
Ung	56	78	-22
Usp32	148	170	-22
Uvssa	105	127	-22
Yif1a	14	36	-22
Zfp383	68	90	-22
Zfp599	10	32	-22
Zfp612	251	273	-22
Zfpm1	46	68	-22
Abtb2	144	167	-23
Acss1	19	42	-23
Amer1	46	69	-23
Arhgap23	379	402	-23
Arl2bp	66	89	-23
Arsk	61	84	-23
Borcs7	161	184	-23
Casp8	26	49	-23
Ccdc3	14	37	-23
Cckbr	34	57	-23
Cdc14a	34	57	-23
Cdc26	92	115	-23
Cep128	38	61	-23
Cfap44	71	94	-23
Clec11a	17	40	-23
Clp1	29	52	-23
Cyp1b1	16	39	-23
Cyp2j12	25	48	-23
Dhodh	27	50	-23
Dysf	35	58	-23
Etfbkmt	70	93	-23
Exph5	38	61	-23
Fam129b	94	117	-23
Fam189b	129	152	-23
Fam241a	49	72	-23
Fsbp	24	47	-23
Galc	42	65	-23
Gpr179	27	50	-23
Hdac10	23	46	-23
Heatr5a	159	182	-23
Ifnar1	69	92	-23
Ighmbp2	35	58	-23
Il4ra	48	71	-23
Iqcd	47	70	-23
Irf1	50	73	-23
Irf5	32	55	-23
Kcnmb2	8	31	-23
Klhl25	71	94	-23
Ltc4s	21	44	-23
Lyar	63	86	-23
Magi2	28	51	-23
Mansc1	85	108	-23
Mfsd2b	35	58	-23
Mfsd8	38	61	-23
Mlx	65	88	-23
Mre11a	93	116	-23
Msc	17	40	-23
Mzt1	126	149	-23
Nek3	35	58	-23
Npy1r	34	57	-23
Nrg1	112	135	-23
Pgm1	19	42	-23
Pik3c2a	56	79	-23
Plekhh2	49	72	-23
Psme2	106	129	-23
Pygo2	131	154	-23
Rnf144a	34	57	-23
Setd1b	32	55	-23
Slc46a1	137	160	-23
Slitrk6	52	75	-23
Snrpg	61	84	-23
Snx4	108	131	-23
Sspo	30	53	-23
St6galnac3	64	87	-23
Stac	48	71	-23
Tsc22d2	55	78	-23
Ttc7	69	92	-23
Unc93b1	45	68	-23
Utp3	58	81	-23
Wdr5b	57	80	-23
Wrn	55	78	-23
Xpo1	59	82	-23
Zcwpw1	39	62	-23
Zfp408	52	75	-23
Zfp560	78	101	-23
Zfp667	31	54	-23
1700030J22Rik	55	79	-24
Abca7	417	441	-24
Aco1	38	62	-24
Api5	105	129	-24
Arhgap28	56	80	-24
Arl4c	340	364	-24
Azi2	162	186	-24
Bet1l	94	118	-24
C330018D20Rik	49	73	-24
Cbr1	265	289	-24
Cfap65	36	60	-24
Chd7	86	110	-24
Clcn5	267	291	-24
Cnrip1	28	52	-24
Dhx37	91	115	-24
Exo5	53	77	-24
Faap20	66	90	-24
Fank1	86	110	-24
Fbxw8	135	159	-24
Fcgr1	20	44	-24
Fmo1	27	51	-24
Fndc1	57	81	-24
Gja4	58	82	-24
Gpatch8	143	167	-24
Gsta3	93	117	-24
Hapln2	812	836	-24
Haus5	32	56	-24
Isg20	17	41	-24
Kctd7	217	241	-24
Khdc3	18	42	-24
Lars2	97	121	-24
Lats2	110	134	-24
Lhx6	61	85	-24
Lrrc8c	67	91	-24
Lsmem2	43	67	-24
Marveld1	47	71	-24
Mmp14	106	130	-24
Mrc2	39	63	-24
Nans	145	169	-24
Nop10	60	84	-24
Nudt8	240	264	-24
Pcdhac2	57	81	-24
Pcdhb3	58	82	-24
Pcnt	125	149	-24
Plau	9	33	-24
Plcb2	23	47	-24
Plscr3	45	69	-24
Pm20d1	51	75	-24
Ppp1r14b	113	137	-24
Prrt3	84	108	-24
Rab43	38	62	-24
Rbbp4	45	69	-24
Rcor1	37	61	-24
Rnf180	67	91	-24
Rttn	45	69	-24
Rwdd2b	63	87	-24
Sil1	41	65	-24
Slc37a3	49	73	-24
Smarca5	99	123	-24
Smarcd2	56	80	-24
Sox5	76	100	-24
Spats1	51	75	-24
Svep1	16	40	-24
Sympk	96	120	-24
Taf5l	45	69	-24
Tmem198b	49	73	-24
Tmem35b	78	102	-24
Top1mt	72	96	-24
Trappc8	84	108	-24
Trpm3	54	78	-24
Ubac2	21	45	-24
Ubiad1	53	77	-24
Vmn2r87	79	103	-24
Xndc1	93	117	-24
Acot4	17	42	-25
Amn1	56	81	-25
Ankrd39	79	104	-25
Arhgap9	26	51	-25
Arhgef37	42	67	-25
Arhgef6	75	100	-25
Bbs12	28	53	-25
C1qtnf6	20	45	-25
Ccdc61	40	65	-25
Ccna2	26	51	-25
Cd300lf	19	44	-25
Cdc25a	101	126	-25
Cfp	64	89	-25
Clvs1	55	80	-25
Cntnap5a	81	106	-25
Cracr2b	53	78	-25
Ctdspl	38	63	-25
D430042O09Rik	66	91	-25
Dnajc25	67	92	-25
Dnttip2	264	289	-25
Draxin	23	48	-25
Dtd1	56	81	-25
Dtx1	81	106	-25
Eif4ebp3	74	99	-25
Emc6	44	69	-25
Enpep	44	69	-25
Epor	74	99	-25
Fgl2	48	73	-25
Fzd7	49	74	-25
Gatad2a	103	128	-25
Gkap1	128	153	-25
Golim4	110	135	-25
Haus1	57	82	-25
Kansl1l	23	48	-25
Kcnj6	40	65	-25
Kdr	74	99	-25
Klf6	92	117	-25
Klhl40	10	35	-25
Lingo2	24	49	-25
Lipt1	54	79	-25
Mcc	63	88	-25
Mns1	12	37	-25
Mttp	48	73	-25
Ndufa11	77	102	-25
Nfkbiz	28	53	-25
Nmnat1	128	153	-25
P2rx4	51	76	-25
Phc3	54	79	-25
Phf13	65	90	-25
Pnp	103	128	-25
Polr3d	102	127	-25
Ptpn6	24	49	-25
Rbmx2	36	61	-25
Rdh5	40	65	-25
Rngtt	144	169	-25
Rpusd2	50	75	-25
S1pr3	34	59	-25
Sema6c	140	165	-25
Sestd1	43	68	-25
Shc4	49	74	-25
Skp2	35	60	-25
Smim20	122	147	-25
Snta1	78	103	-25
Tmtc4	74	99	-25
Tnfaip8l2	24	49	-25
Tnrc18	38	63	-25
Trdmt1	105	130	-25
Trhr2	180	205	-25
Trmt2b	101	126	-25
Ttc26	47	72	-25
Ttll11	30	55	-25
Tyk2	41	66	-25
Vav2	69	94	-25
Vps13a	40	65	-25
Zc3h14	43	68	-25
Zfp414	130	155	-25
Zfp566	70	95	-25
Zfp62	46	71	-25
Zfp954	37	62	-25
Zrsr1	89	114	-25
Alkbh4	22	48	-26
Apobr	65	91	-26
Arf2	240	266	-26
Arnt	86	112	-26
Asb7	16	42	-26
Atad3a	323	349	-26
Braf	207	233	-26
Ccdc177	47	73	-26
Cdk5rap1	79	105	-26
Cep57	17	43	-26
Cerkl	22	48	-26
Clec14a	57	83	-26
Crlf2	79	105	-26
Ctnnal1	90	116	-26
Dapk3	128	154	-26
Def6	46	72	-26
Dnajb4	68	94	-26
Ercc6	38	64	-26
Exoc3l4	75	101	-26
Fam83d	22	48	-26
Fmnl2	62	88	-26
Fras1	62	88	-26
Fut9	52	78	-26
Grm8	215	241	-26
Hnrnpl	64	90	-26
Jcad	41	67	-26
Klhl21	22	48	-26
Kpna3	53	79	-26
Lmx1a	109	135	-26
Lurap1l	57	83	-26
Map3k2	79	105	-26
Mfsd10	65	91	-26
Micos10	67	93	-26
Mto1	58	84	-26
Ndufa4l2	92	118	-26
Nfkbia	50	76	-26
Notch4	69	95	-26
Nr1d1	72	98	-26
Nsun6	47	73	-26
Olfr1564	44	70	-26
Orai3	66	92	-26
Parp9	49	75	-26
Pgghg	23	49	-26
Pi16	12	38	-26
Pml	52	78	-26
Pon3	19	45	-26
Pop4	65	91	-26
Ppil1	67	93	-26
Ppl	15	41	-26
Ptpn13	144	170	-26
Rnf213	72	98	-26
Scarb1	127	153	-26
Sema4a	68	94	-26
Serhl	71	97	-26
Sh2d4b	75	101	-26
Slc16a14	102	128	-26
Slc7a2	42	68	-26
Spag6l	29	55	-26
Spire2	112	138	-26
Srp19	74	100	-26
Srpk3	60	86	-26
Srxn1	125	151	-26
Syt14	100	126	-26
Taf7	110	136	-26
Tango6	191	217	-26
Tmc4	39	65	-26
Tmco3	63	89	-26
Tmem203	75	101	-26
Tnks	50	76	-26
Tpd52	157	183	-26
Traf5	24	50	-26
Tsc22d3	1644	1670	-26
Tspyl3	50	76	-26
Txnip	40	66	-26
Zfp607b	181	207	-26
Zfp661	33	59	-26
1700013F07Rik	44	71	-27
9530077C05Rik	56	83	-27
Abcg2	39	66	-27
Acacb	23	50	-27
Alkal2	40	67	-27
Alkbh2	99	126	-27
Ankfn1	94	121	-27
Anks1	265	292	-27
Ano10	137	164	-27
Arid3a	67	94	-27
Atg14	56	83	-27
Atp13a5	67	94	-27
Bicc1	50	77	-27
Bola3	68	95	-27
Ccl17	8	35	-27
Cenpw	26	53	-27
Chrm3	73	100	-27
Chtf8	46	73	-27
Ciao3	150	177	-27
Cmpk2	58	85	-27
Cox7b2	9	36	-27
Cstb	30	57	-27
D16Ertd472e	47	74	-27
Ddx58	48	75	-27
Dhcr7	201	228	-27
Dock10	54	81	-27
Epm2a	61	88	-27
Eva1a	52	79	-27
Fam120c	30	57	-27
Fam135b	60	87	-27
Foxq1	58	85	-27
Gbgt1	13	40	-27
Glipr2	50	77	-27
Gm29797	44	71	-27
Gngt2	27	54	-27
Gpc6	74	101	-27
Gpr176	152	179	-27
Gprin2	103	130	-27
Haus8	72	99	-27
Herpud1	158	185	-27
Hps5	100	127	-27
Hus1b	50	77	-27
Il1r1	14	41	-27
Ip6k2	37	64	-27
Itga5	19	46	-27
Itpripl2	45	72	-27
Krtap10-10	14	41	-27
Lmtk2	56	83	-27
Mettl16	101	128	-27
Mmut	170	197	-27
Mospd1	122	149	-27
Mylpf	21	48	-27
Myo1f	18	45	-27
Myorg	39	66	-27
Nek1	74	101	-27
Npc1l1	20	47	-27
Npy5r	58	85	-27
Pcdh11x	82	109	-27
Pced1b	49	76	-27
Pdcd2	84	111	-27
Ppp4r3a	29	56	-27
Pus7	51	78	-27
Rbm17	131	158	-27
Rfx4	71	98	-27
Rhebl1	180	207	-27
Rimkla	172	199	-27
Ripk2	45	72	-27
Sardh	70	97	-27
Sdc1	37	64	-27
Shprh	28	55	-27
Slc16a13	98	125	-27
Slc22a8	156	183	-27
Slc7a1	182	209	-27
Smtn	55	82	-27
Taf4b	46	73	-27
Tmem74	51	78	-27
Trac	97	124	-27
Traf1	34	61	-27
Trim17	30	57	-27
Trim65	40	67	-27
Ubap2	19	46	-27
Xaf1	49	76	-27
Zfp276	60	87	-27
Zfp366	38	65	-27
Zfp93	13	40	-27
Zfp958	33	60	-27
4933408B17Rik	45	73	-28
Afap1l2	63	91	-28
Akr1e1	83	111	-28
Arhgef19	39	67	-28
Arsj	17	45	-28
Atxn7l3b	84	112	-28
Aven	115	143	-28
Bbs4	38	66	-28
Blnk	13	41	-28
Cd53	40	68	-28
Cdpf1	50	78	-28
Coasy	81	109	-28
Cradd	178	206	-28
Dbr1	78	106	-28
Dctd	40	68	-28
Ddx59	51	79	-28
Derl3	40	68	-28
Dok5	127	155	-28
Donson	90	118	-28
Elac1	301	329	-28
Ermard	176	204	-28
Esrrb	163	191	-28
Fam45a	115	143	-28
Fam83h	84	112	-28
Ftsj1	160	188	-28
Gbp6	31	59	-28
Gfm1	66	94	-28
Ghsr	31	59	-28
Gm5148	55	83	-28
Gper1	45	73	-28
Gramd1c	26	54	-28
Greb1l	44	72	-28
Gtpbp8	79	107	-28
Herc4	62	90	-28
Hps1	33	61	-28
Hspa12b	179	207	-28
Hspg2	24	52	-28
Id2	115	143	-28
Ift74	60	88	-28
Itga11	16	44	-28
L3mbtl1	200	228	-28
Lgals4	26	54	-28
Lingo3	41	69	-28
Lmbr1l	32	60	-28
Lrrc29	16	44	-28
Lrrc55	55	83	-28
LTO1	103	131	-28
Map4k5	38	66	-28
Mapk12	149	177	-28
Med29	95	123	-28
Mlst8	51	79	-28
N4bp2	23	51	-28
Nek2	16	44	-28
Nid2	18	46	-28
Nup133	40	68	-28
Pcgf3	51	79	-28
Pdgfc	52	80	-28
Pecam1	82	110	-28
Pigm	67	95	-28
Plekhh3	71	99	-28
Plin2	152	180	-28
Ppp1r32	34	62	-28
Prr15	27	55	-28
Qsox2	141	169	-28
Rdm1	24	52	-28
Rrp12	117	145	-28
Sacm1l	86	114	-28
Sc5d	313	341	-28
Scd3	74	102	-28
Serpinh1	36	64	-28
Sez6l	67	95	-28
Sh2b3	58	86	-28
Slc35b3	46	74	-28
Slc9a2	20	48	-28
Sp1	88	116	-28
Srbd1	58	86	-28
Srd5a3	63	91	-28
Sugct	19	47	-28
Tal1	44	72	-28
Tcirg1	73	101	-28
Tdrd5	41	69	-28
Tent5c	26	54	-28
Tex261	153	181	-28
Tmem129	62	90	-28
Trim33	62	90	-28
Trp53i13	41	69	-28
Was	48	76	-28
Xrcc1	68	96	-28
Zfp239	195	223	-28
4921536K21Rik	29	58	-29
9130019O22Rik	38	67	-29
Ankrd34c	68	97	-29
Ap5m1	35	64	-29
Apbb3	79	108	-29
Atg16l2	195	224	-29
B9d2	160	189	-29
Bbof1	81	110	-29
Bphl	143	172	-29
Btbd1	215	244	-29
Cdc42ep3	178	207	-29
Cdkl2	50	79	-29
Chdh	80	109	-29
Cxcr4	18	47	-29
Cyp26b1	7	36	-29
Dym	73	102	-29
Eef1e1	103	132	-29
Ehd1	65	94	-29
Emc8	97	126	-29
Ephb4	29	58	-29
Fam110a	88	117	-29
Fam221b	55	84	-29
Fbxl19	114	143	-29
Gar1	59	88	-29
Gipr	28	57	-29
Grik3	230	259	-29
Gsg1l	22	51	-29
Gucd1	83	112	-29
Ints14	58	87	-29
Kcnq5	59	88	-29
Kdm3b	40	69	-29
Lbhd2	64	93	-29
04-Mar	34	63	-29
Mettl5	47	76	-29
Nars2	44	73	-29
Nprl2	115	144	-29
Nr1h3	32	61	-29
Ormdl1	82	111	-29
Osmr	29	58	-29
Pcdhga6	38	67	-29
Ppil6	21	50	-29
Prkab2	59	88	-29
Prkg1	28	57	-29
Prpf6	35	64	-29
Prr3	109	138	-29
Rarres2	115	144	-29
Rbm42	473	502	-29
Rest	48	77	-29
Rfesd	40	69	-29
Rhbdf1	72	101	-29
Rnf4	176	205	-29
Scube1	25	54	-29
Slc35a3	61	90	-29
Slc38a3	102	131	-29
Slc8a3	333	362	-29
Slfn2	26	55	-29
Socs3	42	71	-29
Spint1	6	35	-29
Sspn	79	108	-29
Stambpl1	53	82	-29
Tbc1d31	119	148	-29
Tctex1d2	35	64	-29
Tgfb3	119	148	-29
Toe1	93	122	-29
Usp13	77	106	-29
Usp4	50	79	-29
Zbed4	59	88	-29
4931414P19Rik	65	95	-30
9930021J03Rik	75	105	-30
Adra1b	501	531	-30
Aff2	34	64	-30
Ankef1	64	94	-30
Arhgef10	147	177	-30
Arl5b	131	161	-30
Atf3	9	39	-30
Bckdha	76	106	-30
Bend6	466	496	-30
Ccpg1	263	293	-30
Cd84	2	32	-30
Cdh6	137	167	-30
Clpb	59	89	-30
Cyb561a3	54	84	-30
Cys1	66	96	-30
Dhx36	36	66	-30
Dzip1l	26	56	-30
Egflam	94	124	-30
Eln	142	172	-30
Erap1	85	115	-30
Esam	88	118	-30
Fam185a	55	85	-30
Fastkd1	91	121	-30
Garnl3	149	179	-30
Gcc2	64	94	-30
Glra3	98	128	-30
Gpc2	45	75	-30
Hrh2	112	142	-30
Kank4	121	151	-30
Kcnh7	118	148	-30
Kcnj4	7	37	-30
Mbip	46	76	-30
Mcrs1	105	135	-30
Memo1	79	109	-30
Mfsd13b	9	39	-30
Naif1	32	62	-30
Pank1	55	85	-30
Phospho2	58	88	-30
Plekhg1	238	268	-30
Pou3f2	127	157	-30
Ppp1r2	67	97	-30
Prodh	52	82	-30
Prrt1	129	159	-30
Ptp4a1.1	40	70	-30
Rhbdf2	17	47	-30
Rlf	63	93	-30
Sacs	91	121	-30
Shroom1	52	82	-30
Slc6a13	56	86	-30
Srsf7	67	97	-30
St7l	49	79	-30
Stat5a	43	73	-30
Syde2	31	61	-30
Tagln	44	74	-30
Thrsp	39	69	-30
Tmem250-ps	87	117	-30
Trmt44	47	77	-30
Twsg1	112	142	-30
Zc3h10	62	92	-30
Zfp267	80	110	-30
Zfp691	66	96	-30
Zfp933	63	93	-30
Zpr1	49	79	-30
Akirin1	68	99	-31
Ankhd1	106	137	-31
Asah2	77	108	-31
Atp10a	140	171	-31
BC024978	71	102	-31
Bcl10	170	201	-31
Birc2	69	100	-31
Catsper2	68	99	-31
Ccna1	31	62	-31
Chadl	112	143	-31
Cnbd2	62	93	-31
Cntnap5c	62	93	-31
Coq7	127	158	-31
Cplx3	28	59	-31
Cpt2	120	151	-31
Crtc1	31	62	-31
Dedd2	124	155	-31
Dgcr8	48	79	-31
Edrf1	39	70	-31
Efcab6	41	72	-31
Eri1	79	110	-31
Erich1	46	77	-31
Etfrf1	79	110	-31
Fam229b	105	136	-31
Gcnt1	30	61	-31
Gm35339	24	55	-31
Hhipl1	218	249	-31
Hibch	172	203	-31
Hsd11b1	44	75	-31
Iba57	112	143	-31
Ikbkb	70	101	-31
Iqcg	28	59	-31
Kcnk12	30	61	-31
Kdm4d	27	58	-31
Kmt5c	58	89	-31
Lair1	30	61	-31
Lbh	225	256	-31
Lck	31	62	-31
Lrrk2	43	74	-31
Mamdc4	88	119	-31
Mitd1	121	152	-31
Mmgt1	74	105	-31
Myl9	51	82	-31
Myo1b	122	153	-31
Myof	24	55	-31
Nckap1l	27	58	-31
Ndp	36	67	-31
Nxph3	77	108	-31
Ogfod3	160	191	-31
Pacrg	56	87	-31
Palld	137	168	-31
Pars2	39	70	-31
Pcdhb19	60	91	-31
Per3	77	108	-31
Pls1	144	175	-31
Plxna3	62	93	-31
Ptpn2	58	89	-31
Rasd2	102	133	-31
Rbpms	41	72	-31
Rnf19b	92	123	-31
Rnf216	79	110	-31
Rom1	132	163	-31
Rpusd4	79	110	-31
Satb2	24	55	-31
Secisbp2	27	58	-31
Shc1	56	87	-31
Shld1	56	87	-31
Spata5	104	135	-31
Spata7	147	178	-31
Suox	100	131	-31
Tbccd1	22	53	-31
Tcerg1l	136	167	-31
Tgfbr3l	77	108	-31
Tmed8	72	103	-31
Tmtc3	77	108	-31
Trim30a	30	61	-31
Trp73	28	59	-31
Ubn2	110	141	-31
Vars2	95	126	-31
Vav1	37	68	-31
Zfp420	62	93	-31
Zfp524	82	113	-31
Zfp804a	127	158	-31
Zfp827	465	496	-31
1810037I17Rik	96	128	-32
1810058I24Rik	31	63	-32
4930444P10Rik	12	44	-32
Akip1	45	77	-32
Ankrd50	130	162	-32
Atp13a3	34	66	-32
Bend7	112	144	-32
Cdh20	201	233	-32
Cdk5r2	115	147	-32
Cep152	81	113	-32
Chmp1b	103	135	-32
Cib2	145	177	-32
Ctu1	22	54	-32
Dnase1l1	21	53	-32
Doc2g	88	120	-32
Dock11	44	76	-32
Dpf1	99	131	-32
Dusp26	380	412	-32
Eaf1	141	173	-32
Ehbp1l1	103	135	-32
Extl2	17	49	-32
Fam227a	140	172	-32
Fam57a	53	85	-32
Fnip2	53	85	-32
Gcat	131	163	-32
Helq	99	131	-32
Herc6	62	94	-32
Hexdc	100	132	-32
Hsdl2	41	73	-32
Hspa1b	65	97	-32
Ifnar2	23	55	-32
Ift140	100	132	-32
Insl5	59	91	-32
Itgbl1	75	107	-32
Jag1	80	112	-32
Kcna2	53	85	-32
Lims2	84	116	-32
Man2b2	121	153	-32
Map3k11	322	354	-32
Mlxipl	36	68	-32
Mreg	90	122	-32
Ms4a6d	7	39	-32
Myo19	221	253	-32
Nos3	28	60	-32
Nphp3	220	252	-32
Parp10	35	67	-32
Pcdhb20	94	126	-32
Pde4d	184	216	-32
Phf24	57	89	-32
Pigb	27	59	-32
Pik3cb	23	55	-32
Ppfibp2	66	98	-32
Psmd6	42	74	-32
Ptbp3	62	94	-32
Rarb	44	76	-32
Rbbp9	86	118	-32
Rbm15b	31	63	-32
Rbm34	92	124	-32
Rnf121	123	155	-32
Rnf26	188	220	-32
Runx2	46	78	-32
Sertad3	57	89	-32
Sowahb	76	108	-32
Sqor	56	88	-32
Srgap1	101	133	-32
Tbp	34	66	-32
Tmem266	132	164	-32
Ube2v1	150	182	-32
Vps51	90	122	-32
Yif1b	186	218	-32
Zc4h2	123	155	-32
Zfp30	214	246	-32
Zfp551	56	88	-32
Zfp760	61	93	-32
Zfp955b	177	209	-32
2610001J05Rik	83	116	-33
2810004N23Rik	136	169	-33
4930453N24Rik	214	247	-33
9030025P20Rik	64	97	-33
Acad12	28	61	-33
Acot3	22	55	-33
Adck2	162	195	-33
AI837181	69	102	-33
Akap5	52	85	-33
Angptl4	68	101	-33
Atp6v1g1	109	142	-33
Axin1	63	96	-33
B3glct	112	145	-33
BC052040	120	153	-33
Bcr	54	87	-33
Bend5	129	162	-33
Brf2	58	91	-33
Btg2	53	86	-33
Capns2	42	75	-33
Casp8ap2	75	108	-33
Ccdc86	47	80	-33
Ccnd3	86	119	-33
Ccng1	36	69	-33
Cenps	79	112	-33
Cideb	80	113	-33
Cnpy3	74	107	-33
Coq8a	31	64	-33
Cpne3	53	86	-33
Dazl	15	48	-33
Dnajb6	108	141	-33
Dok1	39	72	-33
Elp3	126	159	-33
Exoc5	131	164	-33
Faim	92	125	-33
Fmod	13	46	-33
Gpc4	10	43	-33
Gpr165	66	99	-33
Gsap	23	56	-33
Hhatl	40	73	-33
Inpp1	90	123	-33
Lrrc28	59	92	-33
Man1a	191	224	-33
Map2k3	220	253	-33
Mroh7	59	92	-33
Mtf1	150	183	-33
Naglu	80	113	-33
Ndufaf6	160	193	-33
Nelfa	64	97	-33
Nr2f6	115	148	-33
Nucb1	133	166	-33
Olfml1	168	201	-33
Pank2	44	77	-33
Pcdha6	48	81	-33
Pcdhgc3	63	96	-33
Pex19	52	85	-33
Ppp2r2a	85	118	-33
Prkd3	120	153	-33
Prom1	86	119	-33
Prr13	47	80	-33
Psmd10	111	144	-33
Pxmp2	101	134	-33
R3hcc1l	109	142	-33
Reps1	40	73	-33
Rnase1	52	85	-33
Scaf8	141	174	-33
Sfrp1	53	86	-33
Slc17a6	282	315	-33
Slc25a24	41	74	-33
Slc43a2	67	100	-33
Slc6a20a	53	86	-33
Sos2	76	109	-33
Tatdn3	141	174	-33
Tcerg1	57	90	-33
Tep1	27	60	-33
Tex30	44	77	-33
Tiparp	43	76	-33
Tmco4	31	64	-33
Tmem177	54	87	-33
Tmem200b	100	133	-33
Tmem38b	38	71	-33
Utp20	33	66	-33
Xpr1	105	138	-33
Xrcc6	83	116	-33
1110017D15Rik	112	146	-34
Adgrl2	245	279	-34
Akna	85	119	-34
Arhgap42	33	67	-34
Arntl2	73	107	-34
Avpi1	49	83	-34
B4galt7	109	143	-34
Best3	18	52	-34
Btaf1	108	142	-34
Ccdc50	91	125	-34
Ccdc66	52	86	-34
Ccdc82	142	176	-34
Cep57l1	26	60	-34
Chd2	269	303	-34
Commd7	145	179	-34
Cst6	114	148	-34
Dcaf10	30	64	-34
Dchs2	113	147	-34
Dll3	62	96	-34
Dnah9	57	91	-34
Dpy19l4	49	83	-34
Edc4	173	207	-34
Ehd2	44	78	-34
Fam136a	62	96	-34
Fam181a	14	48	-34
Fbxl20	116	150	-34
Fbxo45	123	157	-34
Galm	29	63	-34
Hrh1	66	100	-34
Hvcn1	29	63	-34
Inhbb	110	144	-34
Khdc4	151	185	-34
Kiss1r	131	165	-34
Klhdc1	48	82	-34
L3mbtl2	83	117	-34
Lonp1	139	173	-34
Lonrf3	68	102	-34
Loxl3	46	80	-34
Map3k14	89	123	-34
Mapkapk3	38	72	-34
Medag	155	189	-34
Mesd	227	261	-34
Mettl24	22	56	-34
